Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	0.580430
1	SP GFLOPS	0.0
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	1.176758
1	Average CPU Frequency	2900425087.095186
1	Total Thread Count	28
0	Effective Physical Core Utilization	16.6% (7.303 out of 44)
1	Effective Logical Core Utilization	8.9% (7.874 out of 88)
0	Memory Bound	3.3
1	Cache Bound	3.0
1	DRAM Bound	0.8
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	178.000000	17.500000	5.719898	0.0
1	DRAM Single-Package, GB/sec	89.000000	14.800000	5.099668	0.0
1	QPI Outgoing, GB/sec	68.000000	10.900000	3.721379	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	100.0
1	FP Arith/Mem Rd Instr. Ratio	0.0
1	FP Arith/Mem Wr Instr. Ratio	0.0
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-NotreDame/web-NotreDame.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	6653426
1	Collection start time	19:07:36 02/10/2025 UTC
1	Collection stop time	19:07:36 02/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990481
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	89000000000.000000
