Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.084796
1	SP GFLOPS	0.368734
1	DP GFLOPS	0.092183
1	x87 GFLOPS	0.0
1	CPI Rate	0.689441
1	Average CPU Frequency	3608850886.403941
1	Total Thread Count	1
0	Effective Physical Core Utilization	2.2% (0.982 out of 44)
1	Effective Logical Core Utilization	1.1% (0.936 out of 88)
0	Memory Bound	36.9
1	Cache Bound	32.8
1	DRAM Bound	0.0
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	60.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	142.000000	8.100000	4.480106	0.0
1	DRAM Single-Package, GB/sec	71.000000	5.500000	2.323018	0.0
1	QPI Outgoing, GB/sec	68.000000	5.100000	2.507385	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	6.8
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	1.7
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	x87 FLOPs	0.0
2	Non-FP	91.5
1	FP Arith/Mem Rd Instr. Ratio	0.386089
1	FP Arith/Mem Wr Instr. Ratio	0.980364
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-LiveJournal/com-LiveJournal.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	6065038
1	Collection start time	23:13:51 02/10/2025 UTC
1	Collection stop time	23:13:52 02/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990180
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	71000000000.000000
