Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	0.570351
1	CPU Time	9.820000
2	Effective Time	9.820000
3	Idle	0.0
3	Poor	9.820000
3	Ok	0.0
3	Ideal	0.0
3	Over	0.0
2	Spin Time	0.0
2	Overhead Time	0.0
1	Total Thread Count	44
1	Paused Time	0.0
0	Top Hotspots	
0	Function	Module	CPU Time
0	func@0x18e20	libgomp.so.1	6.650429
0	PageRankPullGS._omp_fn.1	pr	1.640388
0	func@0x18c90	libgomp.so.1	0.441901
0	BuilderBase<int, int, int, (bool)1>::MakeCSR._omp_fn.14	pr	0.427925
0	GOMP_loop_dynamic_start	libgomp.so.1	0.243959
0	[Others]	N/A	0.415398
0	Effective Physical Core Utilization	40.2% (17.695 out of 44)
1	Effective Logical Core Utilization	20.1% (17.701 out of 88)
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-NotreDame/web-NotreDame.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	3945424
1	Collection start time	21:51:40 04/10/2025 UTC
1	Collection stop time	21:51:41 04/10/2025 UTC
1	Collector Type	Driverless Perf per-process counting,User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199989710
2	Logical CPU Count	88
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
