Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.400557
1	CPU Time	21.899998
2	Effective Time	21.899998
3	Idle	0.0
3	Poor	21.899998
3	Ok	0.0
3	Ideal	0.0
3	Over	0.0
2	Spin Time	0.0
2	Overhead Time	0.0
1	Total Thread Count	36
1	Paused Time	0.0
0	Top Hotspots	
0	Function	Module	CPU Time
0	PageRankPullGS._omp_fn.1	pr	12.883899
0	func@0x18e20	libgomp.so.1	6.837406
0	std::istream::operator>>	libstdc++.so.6	0.639802
0	BuilderBase<int, int, int, (bool)1>::MakeCSR._omp_fn.14	pr	0.615466
0	func@0x18c90	libgomp.so.1	0.350000
0	[Others]	N/A	0.573425
0	Effective Physical Core Utilization	36.2% (15.947 out of 44)
1	Effective Logical Core Utilization	18.1% (15.949 out of 88)
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-Google/web-Google.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	4192460
1	Collection start time	20:48:12 04/10/2025 UTC
1	Collection stop time	20:48:13 04/10/2025 UTC
1	Collector Type	Driverless Perf per-process counting,User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199989937
2	Logical CPU Count	88
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
