Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.730831
1	SP GFLOPS	2.079929
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	0.990305
1	Average CPU Frequency	2846678076.745088
1	Total Thread Count	36
0	Effective Physical Core Utilization	26.0% (11.457 out of 44)
1	Effective Logical Core Utilization	12.7% (11.174 out of 88)
0	Memory Bound	13.9
1	Cache Bound	18.2
1	DRAM Bound	0.9
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	178.000000	33.500000	5.569580	0.0
1	DRAM Single-Package, GB/sec	89.000000	24.300000	4.598948	0.0
1	QPI Outgoing, GB/sec	68.000000	18.500000	3.420323	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	5.9
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	94.1
1	FP Arith/Mem Rd Instr. Ratio	0.228492
1	FP Arith/Mem Wr Instr. Ratio	1.786550
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-BerkStan/web-BerkStan.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	12075598
1	Collection start time	18:21:51 02/10/2025 UTC
1	Collection stop time	18:21:53 02/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990170
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	89000000000.000000
