Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.991649
1	SP GFLOPS	2.711325
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	1.154657
1	Average CPU Frequency	2845262603.161417
1	Total Thread Count	28
0	Effective Physical Core Utilization	14.2% (6.261 out of 44)
1	Effective Logical Core Utilization	13.0% (11.478 out of 88)
0	Memory Bound	10.1
1	Cache Bound	22.0
1	DRAM Bound	0.8
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	140.000000	24.700000	2.184120	0.0
1	DRAM Single-Package, GB/sec	70.000000	16.700000	1.938093	0.0
1	QPI Outgoing, GB/sec	68.000000	17.400000	0.361510	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	8.5
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	91.5
1	FP Arith/Mem Rd Instr. Ratio	0.328758
1	FP Arith/Mem Wr Instr. Ratio	2.589854
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-BerkStan/web-BerkStan.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	12371946
1	Collection start time	01:45:55 03/10/2025 UTC
1	Collection stop time	01:45:57 03/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199989958
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	70000000000.000000
