Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2.081235
1	SP GFLOPS	0.192194
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	1.789993
1	Average CPU Frequency	2821567715.776518
1	Total Thread Count	88
0	Effective Physical Core Utilization	32.2% (14.165 out of 44)
1	Effective Logical Core Utilization	31.3% (27.541 out of 88)
0	Memory Bound	13.5
1	Cache Bound	22.3
1	DRAM Bound	0.0
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	178.000000	45.400000	6.284730	0.0
1	DRAM Single-Package, GB/sec	89.000000	26.300000	4.660694	0.0
1	QPI Outgoing, GB/sec	68.000000	20.000000	2.844465	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	0.3
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	99.7
1	FP Arith/Mem Rd Instr. Ratio	0.018591
1	FP Arith/Mem Wr Instr. Ratio	0.178566
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-BerkStan/web-BerkStan.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	20135039
1	Collection start time	18:40:22 02/10/2025 UTC
1	Collection stop time	18:40:24 02/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199989954
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	89000000000.000000
