Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.865308
1	SP GFLOPS	1.929979
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	1.227655
1	Average CPU Frequency	3116652436.250000
1	Total Thread Count	12
0	Effective Physical Core Utilization	16.1% (7.068 out of 44)
1	Effective Logical Core Utilization	8.2% (7.173 out of 88)
0	Memory Bound	35.6
1	Cache Bound	41.8
1	DRAM Bound	0.7
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	178.000000	21.200000	8.406120	0.0
1	DRAM Single-Package, GB/sec	89.000000	19.700000	7.462576	0.0
1	QPI Outgoing, GB/sec	68.000000	13.500000	5.017939	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	11.1
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	88.9
1	FP Arith/Mem Rd Instr. Ratio	0.347313
1	FP Arith/Mem Wr Instr. Ratio	1.777727
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-Google/web-Google.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	10229493
1	Collection start time	17:04:39 02/10/2025 UTC
1	Collection stop time	17:04:41 02/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199989955
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	89000000000.000000
