Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	3.175081
1	SP GFLOPS	0.598411
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	1.328649
1	Average CPU Frequency	2916707283.966559
1	Total Thread Count	22
0	Effective Physical Core Utilization	7.7% (3.377 out of 44)
1	Effective Logical Core Utilization	6.6% (5.839 out of 88)
0	Memory Bound	29.1
1	Cache Bound	48.3
1	DRAM Bound	0.0
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	140.000000	39.800000	5.130578	0.0
1	DRAM Single-Package, GB/sec	70.000000	35.700000	4.447131	0.0
1	QPI Outgoing, GB/sec	68.000000	20.400000	1.335399	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	4.9
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	95.1
1	FP Arith/Mem Rd Instr. Ratio	0.154404
1	FP Arith/Mem Wr Instr. Ratio	0.513499
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-Orkut/com-Orkut.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	12411093
1	Collection start time	04:42:10 03/10/2025 UTC
1	Collection stop time	04:42:13 03/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199989953
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	70000000000.000000
