Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.508442
1	SP GFLOPS	0.265175
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	1.592748
1	Average CPU Frequency	2830312264.859733
1	Total Thread Count	44
0	Effective Physical Core Utilization	37.9% (16.692 out of 44)
1	Effective Logical Core Utilization	18.9% (16.636 out of 88)
0	Memory Bound	27.8
1	Cache Bound	39.7
1	DRAM Bound	0.0
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	156.000000	34.500000	10.739558	0.0
1	DRAM Single-Package, GB/sec	78.000000	26.700000	8.472318	0.0
1	QPI Outgoing, GB/sec	68.000000	21.400000	7.027118	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	0.7
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	99.3
1	FP Arith/Mem Rd Instr. Ratio	0.033030
1	FP Arith/Mem Wr Instr. Ratio	0.225346
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-Google/web-Google.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	13377911
1	Collection start time	20:53:00 04/10/2025 UTC
1	Collection stop time	20:53:02 04/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990283
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	78000000000.000000
