Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.914898
1	SP GFLOPS	1.357777
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	1.487674
1	Average CPU Frequency	2828478048.258984
1	Total Thread Count	66
0	Effective Physical Core Utilization	31.8% (14.007 out of 44)
1	Effective Logical Core Utilization	23.1% (20.346 out of 88)
0	Memory Bound	9.7
1	Cache Bound	17.1
1	DRAM Bound	0.0
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	178.000000	36.900000	5.953320	0.0
1	DRAM Single-Package, GB/sec	89.000000	20.300000	4.417990	0.0
1	QPI Outgoing, GB/sec	68.000000	18.900000	3.049771	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	2.5
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	97.5
1	FP Arith/Mem Rd Instr. Ratio	0.131111
1	FP Arith/Mem Wr Instr. Ratio	1.326493
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-BerkStan/web-BerkStan.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	16556956
1	Collection start time	18:34:45 02/10/2025 UTC
1	Collection stop time	18:34:47 02/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990113
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	89000000000.000000
