Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2.797784
1	CPU Time	18.649998
2	Effective Time	18.649998
3	Idle	0.010000
3	Poor	18.639998
3	Ok	0.0
3	Ideal	0.0
3	Over	0.0
2	Spin Time	0.0
2	Overhead Time	0.0
1	Total Thread Count	66
1	Paused Time	0.0
0	Top Hotspots	
0	Function	Module	CPU Time
0	PageRankPullGS._omp_fn.1	pr	10.580118
0	BuilderBase<int, int, int, (bool)1>::MakeCSR._omp_fn.14	pr	3.350000
0	std::istream::operator>>	libstdc++.so.6	1.995868
0	BuilderBase<int, int, int, (bool)1>::CountDegrees._omp_fn.10	pr	1.108049
0	BuilderBase<int, int, int, (bool)1>::SquishCSR._omp_fn.15	pr	0.635883
0	[Others]	N/A	0.980080
0	Effective Physical Core Utilization	15.6% (6.861 out of 44)
1	Effective Logical Core Utilization	7.8% (6.862 out of 88)
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-Orkut/com-Orkut.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	4274705
1	Collection start time	02:53:35 05/10/2025 UTC
1	Collection stop time	02:53:38 05/10/2025 UTC
1	Collector Type	Driverless Perf per-process counting,User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990194
2	Logical CPU Count	88
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
